[2024-06-29T13:57:09.853369+00:00] fahmi_arzalega\belajar\PHP\MVC\LoggingTest.INFO: Belajar Pemograman PHP Logging [] []
[2024-06-29T13:57:09.857389+00:00] fahmi_arzalega\belajar\PHP\MVC\LoggingTest.INFO: Selamat Datang di Course Programmer Zaman Now [] []
[2024-06-29T13:57:09.857433+00:00] fahmi_arzalega\belajar\PHP\MVC\LoggingTest.INFO: Ini informasi aplikasi logging [] []
[2024-06-29T14:17:40.543012+00:00] fahmi_arzalega\belajar\PHP\MVC\LevelTest.DEBUG: this is debug [] []
[2024-06-29T14:17:40.546157+00:00] fahmi_arzalega\belajar\PHP\MVC\LevelTest.INFO: this is info [] []
[2024-06-29T14:17:40.546230+00:00] fahmi_arzalega\belajar\PHP\MVC\LevelTest.NOTICE: this is notice [] []
[2024-06-29T14:17:40.546286+00:00] fahmi_arzalega\belajar\PHP\MVC\LevelTest.WARNING: this is warning [] []
[2024-06-29T14:17:40.546649+00:00] fahmi_arzalega\belajar\PHP\MVC\LevelTest.ERROR: this is error [] []
[2024-06-29T14:17:40.547340+00:00] fahmi_arzalega\belajar\PHP\MVC\LevelTest.CRITICAL: this is critical [] []
[2024-06-29T14:17:40.547473+00:00] fahmi_arzalega\belajar\PHP\MVC\LevelTest.ALERT: this is alert [] []
[2024-06-29T14:17:40.547550+00:00] fahmi_arzalega\belajar\PHP\MVC\LevelTest.EMERGENCY: this is emergency [] []
[2024-06-30T07:06:49.766554+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-0 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.915381+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-1 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.915458+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-2 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
